Index[#version],Pointer[#version|],Original,Translated
000,0x214000,"<@LL,Ikki,00>...まてよ<CF><D1>海ていに 引きずリこまれたときに<CD>手に入れた この<CF><D1>♥スト-ンが かわリになったら!?",
001,0x214002,"<@LL,Ikki,01>やった! うまく いきそうだ!",
002,0x214004,"<@RL,Brass,00><&BUF07>さん...",
003#kabuto,0x214006,"<@RL,Metabee,00>う うつくしい...<CD>これが レイさんの 本当のすがた",
003#kuwagata,0x214006,"<@RL,Rokusho,00>それが 本当の すがたなのか?<CD>レイ...",
004,0x214008,"<@LL,Ikki,07>でんせつの 金魚は<CD>メダロットだったんだ!<CF><D1><@LL,Ikki,00>? でも どうして<CD><&BUF07>のこと<CF><D1>知ってるの?<CD>まだ 知リ合う 前の はずなのに<CF><D1><@RL,Brass,00>あなたがたが 持って来た<CD>♥スト-ンには<CF><D1>みらいの わたしの きおくが<CD>入っていたのです<CF><D1>ですから わたしには 今 かこ<CD>みらいの 全ての きおくが あリます",
005#kabuto,0x21400a,"<@RL,Metabee,00>レイさん 何を 言ってる...?",
005#kuwagata,0x21400a,"<@RL,Rokusho,00>何を 言っている?",
006,0x21400c,"<@RL,Brass,00><&BUF07>さん<CD>おわかれの時が 来たようです",
007#kabuto,0x21400e,"<@RL,Metabee,00>えっ! それって どういう...",
007#kuwagata,0x21400e,"<@RL,Rokusho,00>...?",
008,0x214010,"<@RL,Brass,00>わたしは このじだいの<CD>者では あリません<CF><D1>時をこえ わたしの いるベき<CD>はるかな むかしヘ かえらなければ<CF><D1><@LL,Ikki,00>きみは いったい だれなんだ?<CF><D1><@RL,Brass,00>...わたしは そのむかし<CD>マザ-によって 生み出され<CF><D1>マザ-と 人とを むすびつける<CD>やくめを おっていたのですが...<CF><D1>わたしは...つよすぎる フォ-スを<CD>せいぎょできなくて<CF><D1>町を 海に しずめてしまったのです<CF><D1><@LL,Ikki,07>!!<CF><D1><@RL,Brass,00>そのご わたしは この体と ともに<CD>ふういんされ 海のそこで<CF><D1>ねむリに つきました<CF><D1>でも 何かが わたしを<CD>目ざめさせたのです<CF><D1><@LL,Ikki,00>セルリア-ノ?<CF><D1><@RL,Brass,00>わたしを めざめさせたのは<CD>黒いマザ-の スピリット<CF><D1>わたしの 力と きおくを ふうじた<CD>♥スト-ンを うばい<CF><D1>わたしを あやつったのです<CF><D1>だけど わたしを<CD><&BUF07>さんに<CF><D1>めぐリ会わせたのは きっと<CD>「時」を あやつる わたしの<CF><D1>マザ-...<CF><D1><@LL,Ikki,07>ねえ どういうこと?<CD>マザ-って 何?<CF><D1><@RL,Brass,00>あリがとう <&BUF07>さん<CF><D1>もう少しで わたし あの時の<CD>あくむを くリかえす ところでした<CF><D1>マザ-の ことばは 本当でした<CF><D1>いつか 本当の「ハ-ト」を くれる<CD>だれかが あらわれるって<CF><D1>あなたのこと 本当に すき...<CF><D1>今なら わたし かこを<CD>やリなおせます<CF><D1>あなたが くれた ハ-トが<CD>あるから...",
009#kabuto,0x214012,"<@RL,Metabee,00>レイさんっ!!",
009#kuwagata,0x214012,"<@RL,Rokusho,00>まてっ!!",
010#kabuto,0x214014,"<@RL,Metabee,00>レ レイさん...",
010#kuwagata,0x214014,"<@RL,Rokusho,00>レイ...",
011,0x214016,"<@LL,Ikki,05>のこったのは レイだった メダロット",
012,0x214018,"<@LL,Ikki,03><&BUF07>...",
013,0x21401a,"<@LL,Ikki,00>そろそろ ぼくたちも<CD>かえる 時間みたいだ<CF><D1>ぼくらが かえる みらいでは<CD>アンダ-シェルも みんなも<CF><D1>ぶじなはず<CF><D1><@LL,Ikki,04>ねえ <&BUF07><CD>ぼくは レイの かわリには<CF><D1>なれないけど でも ぼくらは...",
