Index[#version],Pointer[#version|],Original,Translated
000,0x22c000,"<@RL,Lady2,00>あんな人には なっちゃだめよ!<CF><D1>ぼうやは リっぱな こうむいんに<CD>なるのよ!","<@RL,Lady2,00>You can't become like them, okay?<CF><D1>You will become a fine public servant in the future!"
001,0x22c002,"<@RL,Lady2,00>うちの だんな すぐに<CD>のリものよい しちゃうのよ","<@RL,Lady2,00>My husband gets motion sickness easily."
002,0x22c004,"<@RL,Boy,00>ビ-ハイブって 変な作リだろ?<CD>だから かくれんぼとか 出来るんだ","<@RL,Boy,00>Beehive looks weird, right? It's good for playing hide-and-seek."
003,0x22c006,"<@RL,Boy,00>どこ行ったんだ? あいつ<CD>かくれるのが 上手なんだよな","<@RL,Boy,00>Where is he? He's so good at hiding."
004,0x22c008,"<@RL,Boy,00>うわ- いいな- ぼくも ほしいな-","<@RL,Boy,00>Woah! You got it nice. I'm envious..."
005,0x22c00a,"<@RL,ScientistMale,01>いいだろ- せんしゃメダロットの<CD>さいしんばん だからな","<@RL,ScientistMale,01>Isn't it cool? After all, this is the latest Tank Medarot!"
006,0x22c00c,"<@LL,Ikki,04>この せんしゃメダロットは<CD>すごく つよそうだ!","<@LL,Ikki,04>This Tank Medarot looks so strong!"
007,0x22c00e,"<@RL,ScientistMale,00>きみ! あぶないから さがってなさい<CF><D1>かいはつ中の パ-ツだから<CD>どんな じこが おこるか<CF><D1><@LL,Ikki,04>おじさんは あぶなくないの?<CF><D1><@RL,ScientistMale,01>わたしは このしごと 長いからね","<@RL,ScientistMale,00>Hey, get back! It's dangerous here.<CF><D1>Researching new Parts tends to come with accidents.<CF><D1><@LL,Ikki,04>Then isn't it dangerous for you, too?<CF><D1><@RL,ScientistMale,01>No problem. I've been doing this for years."
008,0x22c010,"<@RL,ScientistMale,00>あ あぶないじゃないかっ!","<@RL,ScientistMale,00>T-that's dangerous!"
009,0x22c012,"<@RL,ScientistMale,00>ティンペットが 多くなったら<CD>その内の1体は せんすいに つよい<CF><D1>パ-ツで 租んでおくと いいかも","<@RL,ScientistMale,00>If there are lots of Tinpets available, maybe it's better to build one that's strong against diving opponents."
010,0x22c014,"<@RL,ScientistMale,00>メダロット変形についての ろんぶんを<CD>かきたかったんだけど<CF><D1>まだまだ しリょうが 出てないなあ","<@RL,ScientistMale,00>I was going to write a thesis on the deformation of Medarots, but I don't have enough materials to go with."
011,0x22c016,"<@RL,ScientistMale,00>「トラップパ-ツ」 使ってる?","<@RL,ScientistMale,00>Do you use <f02>Trap Parts<f00>?"
012,0x22c018,"<@RL,ScientistMale,00>「いんペいパ-ツ」とか 使ってる?","<@RL,ScientistMale,00>Do you use any <f02>Conceal Parts<f00>?"
013,0x22c01a,"<@RL,ScientistMale,00>攻撃させる だけじゃ 本当の<CD>メダロッタ-には なれないぞ","<@RL,ScientistMale,00>Attacking all the time doesn't make you a true Medarotter."
014,0x22c01c,"<@RL,ScientistMale,00>メダロットは おくが ふかい<CD>だからもっと 研究が ひつようだ","<@RL,ScientistMale,00>We've barely scratched the surface of Medarots. We need to do more research on them."
015,0x22c01e,"<@RL,Karin,04><&BUF03>くん<CF><D1><@LL,Ikki,04>何? カリンちゃん<CF><D1><@RL,Karin,04>聞いてほしいことが あるんです<CF><D1>あの...わらわずに<CD>聞いていただけますか?<CF><D1><@LL,Ikki,06>(どきっ♥)<CD>な 何?<CF><D1><@RL,Karin,00>じつは わたし その...<CF><D1><@LL,Ikki,07>(どきどきっ♥♥)","<@RL,Karin,04><&BUF03>.<CF><D1><@LL,Ikki,04>What is it, Karin?<CF><D1><@RL,Karin,04>I want to tell you about something.<CF><D1>Um... please don't laugh, okay?<CF><D1><@LL,Ikki,06>(<f02>Thump<f00> ♥) W-what is it?<CF><D1><@RL,Karin,00>Actually, I...<CF><D1><@LL,Ikki,07>(<f02>Thump thump<f00> ♥♥)"
