Index[#version],Pointer[#version|],Original,Translated
000,0x218000,"<@RL,Koji,02>じゃ またな!<CF><D1><@RL,Karin,04>明日が 楽しみですわ!<CF><D1>それでは しつれい しますね","<@RL,Koji,02>Well, see ya!<CF><D1><@RL,Karin,04>I'm looking forward to tomorrow!<CF><D1>Now if you'll excuse me."
001,0x218002,"<@RL,Erika,04>じゃあね <&BUF0A>!<CD>また 明日ね!<CF><D1>あたしは コンビニ前で まってるから<CD>おくれずに 来てよ!","<@RL,Erika,04>Well then, <&BUF0A>!<D3>See you tomorrow!<CF><D1>I'll wait for you in front of the convenience store, so don't be late!"
002,0x218004,"<@LL,Ikki,04>ソルティ<CD>むかえに来てくれたのか!","<@LL,Ikki,04>Salty,<D3>you came to pick me up!"
003,0x218006,"<@RL,Salty,00>わん わん!","<@RL,Salty,00>Woof woof!"
004,0x218008,"<@LL,Ikki,01>あはは やめろよ<CD>くすぐったいよ!","<@LL,Ikki,01>Ahaha, stop. That tickles!"
005,0x21800a,"<@LL,Ikki,00>あれ? もしかして お前らも<CD>むかえに来てくれたの?<CF><D1><@RL,Spyke,00>んなわけ ね-だろ?","<@LL,Ikki,00>Huh? Could you guys have come to greet me too?<CF><D1><@RL,Spyke,00>How'd that thought ever cross your mind?"
006,0x21800c,"<@RL,Samantha,00>「週刊メダロット」でさぁ<CF><D1>あんたらが また勝ったって<CD>聞いたからさぁ<CF><D1><@LL,Ikki,01>え? いやぁ もしかして ぼく<CD>ゆうめい人?<CF><D1><@RL,Spyke,04>ふざけんじゃね-って!<CF><D1><@RL,Samantha,00>次は お空の上の「ヘブンスゲ-ト」<CD>だってねぇ <&BUF0A><CF><D1><@LL,Ikki,00>うん そうだけど?<CF><D1><@RL,Samantha,03>いっしょに たたかった<CD>なかでしょお?<CF><D1>あたしたちも つれてってよぉ-<CF><D1><@LL,Ikki,00>何だよ とつぜん<CD>自分から チ-ムぬけておいて<CF><D1><@RL,Samantha,04>何よぉ いいじゃなぁい<CD>あたしたちだってぇ<CF><D1>1回くらい 空の上に<CD>行ってみたいしぃ<CF><D1><@RL,Spyke,00>そ-だ そ-だ!<CF><D1><@LL,Ikki,05>そんなこと 言われてもなぁ<CF><D1><@RL,Samantha,02>あ- そんなこと言って いいわけぇ?<CD>あんたが そういうつもリならぁ<CF><D1>こっちにだって 考えが<CD>あるんだからぁ おぼえてなさぁい!","<@RL,Samantha,00>We saw Medarot Weekly, you guys won again!<CF><D1><@LL,Ikki,01>Eh? Am I becoming famous?<CF><D1><@RL,Spyke,04>Quit messing around!<CF><D1><@RL,Samantha,00>Next you'll be going to Heaven's Gate way up in the sky, isn't that right, <&BUF0A>?<CF><D1><@LL,Ikki,00>Yeah, what about it?<CF><D1><@RL,Samantha,03>We've fought alongside one another, haven't we?<CF><D1>So take us with you!<CF><D1><@LL,Ikki,00>What's with this suddenly? You left the team on your own.<CF><D1><@RL,Samantha,04>Don't focus on details like that.<D3>Even we want to go to high up into the sky once in our lives!<CF><D1><@RL,Spyke,00>Right, right!<CF><D1><@LL,Ikki,05>Even if you say that...<CF><D1><@RL,Samantha,02>Ah, so that's how you're gonna be?<CF><D1>You'd best remember that we have our own plans!"
007,0x21800e,"<@LL,Ikki,05>何だったんだ...","<@LL,Ikki,05>What was that about...?"
008#kabuto,0x218010,"<@LL,Ikki,04>ま いいや<CD>今は 家で 休む前に<CF><D1>このブラックカブトメダルを<CD>はかせの 所に もって行こう","<@LL,Ikki,04>Well, no worries.<D3>Before I go home to rest, I should take the Black Beetle Medal to Dr. Medarot."
008#kuwagata,0x218010,"<@LL,Ikki,04>ま いいや<CD>今は 家で 休む前に<CF><D1>このブラッククワガタメダルを<CD>はかせの 所に もって行こう","<@LL,Ikki,04>Well, no worries.<D3>Before I go home to rest, I should take the Black Stag Medal to Dr. Medarot."
