Index[#version],Pointer[#version|],Original,Translated
000,0x220000,"<@LL,Ikki,06>うっ...<CF><D1><@RL,Erika,02>あんた こんなやつに<CD>バカにされて くやしくないの!?<CF><D1><@RL,Koji,01>いじを 貝せてやれ<CD><&BUF0A>!<CF><D1><@RL,Karin,04>とっても 楽しいですよ♥<CF><D1><@LL,Ikki,05>わ 分かったよ","<@LL,Ikki,06>Uuw...<CF><D1><@RL,Erika,02>Aren't you fed up with that guy looking down on us?<CF><D1><@RL,Koji,01>Show him what you've got, <&BUF0A>!<CF><D1><@RL,Karin,04>It's really fun ♥<CF><D1><@LL,Ikki,05>F-fine."
001,0x220002,"<@LL,Ikki,05>こ ここかな...?","<@LL,Ikki,05>I-is this it...?"
002,0x220004,"ガシャン!<CF><D1><@RL,Erika,05>あっちゃ-<CF><D1><@RL,Koji,03>おいおい<CF><D1><@RL,Karin,05>だいじょうぶですかっ!","<f09>Crash<f08>!<f00><CF><D1><@RL,Erika,05>Ouch...<CF><D1><@RL,Koji,03>Hey, hey!<CF><D1><@RL,Karin,05>Are you alright!?"
003,0x220006,"<@LL,Ikki,05>だ だって ぼく 空をとぶ<CD>はやい のリものって にがてだし<CF><D1><@RL,Koji,03>それが おれの ライバルの言う<CD>セリフか!?<CF><D1><@RL,Erika,05>はああ そう言えば あんた<CD>ひこうきも こわいのよね<CF><D1><@RL,Crow,00>しょせん 地上人だって ことか<CF><D1><@RL,Erika,07>あ! でも あんた<CD>「風のつばさ」は ヘいきじゃない!<CF><D1><@LL,Ikki,04>メダロットは ベつだよ<CD>ぼく メダロットは しんじられる<CF><D1><@RL,Crow,00>「風のつばさ」?<CD>あんな おもちゃに のっているのか<CF><D1><@LL,Ikki,02>ぼくには メダロットが 1番なんだ!<CF><D1><@RL,Crow,00>バカには つき合ってられん<CF><D1>ここを かんこうしたけリゃ<CD>勝手に やるんだな","<@LL,Ikki,05>I-I'm not good with things that fly that fast.<CF><D1><@RL,Koji,03>Is that something my rival should be saying!?<CF><D1><@RL,Erika,05>Haa, now that I think about it, you were acting scared on the plane.<CF><D1><@RL,Crow,00>What can you expect from a surface dweller.<CF><D1><@RL,Erika,07>Ah! But you were fine with using the <f02>Wings of Wind!<f00><CF><D1><@LL,Ikki,04>Medarots are different. I believe in Medarots.<CF><D1><@RL,Crow,00>The <f02>Wings of Wind? <f00><D3>You rode on a toy like that?<CF><D1><@LL,Ikki,02>For me, Medarots are the best!<CF><D1><@RL,Crow,00>I can't put up with you idiots.<CF><D1>If you wanna go sightseeing, you guys are on your own."
004,0x220008,"<@RL,Erika,02>あんたなんか こっちから<CD>おことわリですよ-だ! ベ--っ!","<@RL,Erika,02>You're the one that we can't stand being around ! Bleh!"
005,0x22000a,"<@RL,Erika,06>あ-あ 何だか しらけちゃった!<CF><D1>気分てんかんに いろんな所<CD>しゅざいして まわろ-<CF><D1><@RL,Erika,00>そう言えば あんた「風のつばさ」は?<CD>前は よく 使ってたじゃない<CF><D1><@LL,Ikki,03>おぼえてない? メダロッチのデ-タが<CD>きえた時 いっしょに きえちゃって<CF><D1><@RL,Erika,05>あ そっか...あたしのも<CD>きえちゃったもんね<CF><D1><@RL,Erika,04>でも はかせなら もってるかもね!","<@RL,Erika,06>Aah! Now my mood is ruined!<CF><D1>Let's go around and find some news to cover to change things up.<CF><D1><@RL,Erika,00>Come to think of it, what about your <f02>Wings of Wind?<f00><D3>You used to use it pretty often, right?<CF><D1><@LL,Ikki,03>Don't you remember? It was lost with the data on the Medarotches.<CF><D1><@RL,Erika,05>Ah, that's right... I lost mine then too.<CF><D1><@RL,Erika,04>But maybe the professor has some!"
006,0x22000c,"<@RL,Koji,01>じゃあ おれは ロボトルの<CD>あいてを さがすっ!!<CF><D1><@RL,Karin,04>では わたしは おさんぽでも","<@RL,Koji,01>Well, I'm gonna go find people to robattle!!<CF><D1><@RL,Karin,04>And I am going for a stroll."
007,0x22000e,"<@LL,Ikki,03>ぼくって うんどうしんけい<CD>ないのかな...<CF><D1>「風のつばさ」かぁ...<CF><D1>アリカも「はかせなら」って言ってたし<CD>何も することないから<CF><D1>はかせの とこでも 行ってみよ","<@LL,Ikki,03>I wonder if my reflexes just aren't good enough...<CF><D1><f02>Wings of Wind<f00>, huh...<CF><D1>Arika said that ""the professer may have it"" and there's nothing else to do, so let's go check where the professor is."
008,0x220010,"<@RL,Man3,00>ぼくはお金持ちさ! うらやましいだろ","<@RL,Man3,00>I'm a rich man! You must be jealous?"
009,0x220012,"<@RL,Clerk,00>あ-ら おくさま 今日も<CD>おきれい ですこと オホホ","<@RL,Clerk,00>Oh my, your wife sure is pretty today. Ohoho..."
