Index[#version],Pointer[#version|],Original,Translated
000,0x919ec,えっと ここ...どこだっけ?<CD>どうして ぼく<CF>ここに いるんだっけ?<CD>そうだ ぼく かえらなきゃ...<*03>,Wh-Where... am I?<D3>Why am I here?<CF>That's right...<D3>I have to get back...<*03>
001,0x919ee,<SFF>あ! ながれ星!<*04>,<SFF>Ah!<D3>A shooting star!<*04>
002,0x919f0,あっちの方に おちたぞ<CD>行ってみよう!<*03>,It fell over there!<D3>I need to go check it out!<*03>
003,0x919f2,あれっ? 小さな 男の子だ<CD>ながれ星かと 思ったのに<CF>そうだ この子に 聞いてみよう<CD>でも ぼくの家が どこかなんて<CF>この子が 知ってるわけ<CD>ないよなぁ...<*03>,Huh? A kid?<CF>I thought it was a shooting<D3>star.<CF>Maybe I can ask them how to<D3>get home.<CF>...but how could they know?<*03>
004,0x919f4,......<CF>何? 上? 上が どうしたの?<CD>上に 何か あるの?<*03>,...<CF>Up?<D3>What's up there?<*03><D3>
005,0x919f6,えっ! ちきゅう!?<CD>そんな! じゃあ ここは...?<*03>,Is that... Earth!?<CF>That can't be right!<CF>Then where am I now...?<*03>
006,0x919f8,<SFF>ロ-テ-ションをきめる<CD>メダロットを 選んでください<*04>,<SFF>Please select the rotation<D3>order of your Medarots.<*04>
007,0x91a0e,<SFF>メダロットが 自分で考えて行動します<*04>,<SFF>Your Medarots will act of<D3>their own accord.<*04>
008,0x91a10,<SFF>頭パ-ツを使います<CD>変形の時は ドライブAを使います<*04>,"<SFF><f01>Uses Head part; When Medachanged,<D3>Drive A will be used.<f00> <*04>"
009,0x91a12,<SFF>右院パ-ツを使います<CD>変形の時は ドライブBを使います<*04>,"<SFF><f01>Uses Right Arm part; When<D3>Medachanged, Drive B will be used.<f00> <*04>"
010,0x91a14,<SFF>左院パ-ツを使います<CD>変形の時は ドライブCを使います<*04>,"<SFF><f01>Uses Left Arm part; When<D3>Medachanged, Drive C will be used.<f00> <*04>"
011,0x91a16,<SFF>メダフォ-スをためます<*04>,<SFF>Build up Medaforce.<*04>
012,0x91a18,<SFF>メダフォ-ス1を使います<*04>,<SFF>Use Medaforce 1.<*04>
013,0x91a1a,<SFF>メダフォ-ス2を使います<*04>,<SFF>Use Medaforce 2.<*04>
014,0x91a1c,<SFF>メダフォ-ス3を使います<*04>,<SFF>Use Medaforce 3.<*04>
015,0x91a1e,<SFF>変形します<CD>すでに 変形している時は ?と同じ<*04>,<SFF><f01>Medachange. Already Medachanged?<D3>The same action will happen.<f00><*04>
016,0x91a20,<SFF>左右キ-で ロ-テ-ションポイントを<CD>選んでください<*04>,<SFF>Please select the left and<D3>right rotation point.<*04>
017,0x91a22,このアイテムは 使えません!<*03>,You can't use this item!<*03>
018,0x91a2e,ここでは 使えません!<*03>,You can't use this here!<*03>
019,0x91a30,今は 使えません!<*03>,You can't use this right now!<*03>
020,0x91a32,ここでは 使えません!,You can't use this here!
021,0x91a36,今は 使えません!,You can't use this right now!
022,0x91a38,メダロット「ヴェイパ-レ-ル」が<CD>租まれてないよ!<CF>頭パ-ツ 「スチ-ムボ-ド」!<CD>右院パ-ツ 「スチ-ムド-リン」!<CF>左院パ-ツ 「スチ-ムパイプ」!<CD>脚部パ-ツ 「スチ-ムタ-ビン」!<CF>メダロット「ヴェイパ-レ-ル」が<CD>かんせいだよ!,"The Medarot, <f02>Vapor Rail<f00> is not assembled!<CF>Head: <f02>Steam Board<f00>!<D3>Right Arm: <f02>Steam Dolin<f00>!<CF>Left arm part, <f02>Steam Pipe<f00>!<D3>Leg part, <f02>Steam Turbine<f00>!<CF>That completes <f02>Vapor Rail<f00>!"
023,0x91a3a,メダロット「スカイカ-ゴ」が<CD>租まれてないよ!<CF>頭パ-ツ 「エアフライト」!<CD>右院パ-ツ 「エアウィング」!<CF>左院パ-ツ 「エアフィン」!<CD>脚部パ-ツ 「エアタ-ビン」!<CF>メダロット「スカイカ-ゴ」が<CD>かんせいだよ!,"The Medarot, 'Skycargo'<D3>is not assembled!<CF>Head part, 'Air Flight'!<D3>Right arm part, 'Air Wing'!<CF>Left arm part, 'Air Fin'!<D3>Leg part, 'Air Turbine'!<CF>That completes,<D3>the Medarot, 'Skycargo'!"
024,0x91a3c,メダロット「オ-トクル-ズ」が<CD>租まれてないよ!<CF>頭パ-ツ 「ウォ-タフリ-ト」!<CD>右院パ-ツ 「ウォ-タホ-ル」!<CF>左院パ-ツ 「ウォ-タポ-ト」!<CD>脚部パ-ツ 「ウォ-タタ-ビン」!<CF>メダロット「オ-トクル-ズ」が<CD>かんせいだよ!,"The Medarot, 'Auto-Cruise'<D3>is not assembled!<CF>Head part, 'Water Fleet'!<D3>Right arm part, 'Water Hole'!<CF>Left arm part, 'Water Port'!<D3>Leg part, 'Water Turbine'!<CF>That completes,<D3>the Medarot, 'Auto-Cruise'!"
025,0x91a3e,このバ-ジョンでは セ-ブできません,Cannot save with this version.
026,0x91a40,"<@RL,0A,01>ざんねん! このバ-ジョンでは<CD>つうしんできません!<*03>","<@RL,0A,01>Sorry!<D3>I can't link with this version!<*03>"
027,0x91a42,"<@RL,0A,01>つうしん前に セ-ブします!<CD>よろしいですか?<*04>","<@RL,0A,01>Do you want to save<D3>beforehand?<*04>"
028,0x91a4e,"<@RL,0A,00>つうしんを あきらめた!","<@RL,0A,00>Link aborted!"
029,0x91a50,"<@RL,0A,02>つうしんネットに せつぞくします!<S46><*04>","<@RL,0A,02>Link will now connect!"
030,0x91a52,"<@RL,0A,00>つうしんネットヘの せつぞくに<CD>しっぱいした!","<@RL,0A,00>Link connection failed!"
031,0x91a54,セ-ブ中!<*04>,Saving!<*04>
032,0x91a56,<SFF>ともだちと きがるに ロボトル!<*04>,<SFF>A casual Robattle with<D3>a friend!<*04>
033,0x91a58,<SFF>ともだちと パ-ツをかけた<CD>しんけんロボトル!<*04>,<SFF>A serious Robattle where your<D3>parts are at stake!<*04>
034,0x91a5a,<SFF>ともだちと パ-ツトレ-ド!<*04>,Trade parts with your friends!<*04>
035,0x91a5c,<SFF>ともだちに メダルをあげます!<*04>,Give Medals to your friends!<*04>
036,0x91a5e,<SFF>つうしんネットを おわる時は<CD>かならず 選択してください!<*04>,<SFF>Select this when you want<D3>to disconnect the link.<*04>
037,0x91a60,2体いじょう 租まれた<CD>メダロットがないと できません!<S46><*04>,You need at least two or<D3>more assembled Medarots!<S46><*04>
038,0x91a62,さあ しょうぶだ!<S5A><*04>,"Ok, fight!<S5A><*04>"
039,0x91a64,デ-タ転送エラ-!<S5A><*04>,Data transfer error!<S5A><*04>
040,0x91a66,モ-ドを 選んでください!<*04>,Please select a mode!<*04>
041,0x91a68,つうしんチェック中!<*04>,Checking link!<*04>
042,0x91a6a,ロボトルに 勝ちました!<CD>つうしんロボトル <&BUF02>勝<&BUF01>敗<*03>,"<f01>Robattle won! Link Robattle<D3><&BUF02> won, <&BUF01> lost<f00><*03>"
043,0x91a6c,ロボトルに まけました!<CD>つうしんロボトル <&BUF02>勝<&BUF01>敗<*03>,"<f01>Robattle lost! Link Robattle<D3><&BUF02> won, <&BUF01> lost.<f00><*03>"
044,0x91a6e,あいてが 「ロボと-る」中です!<S5A><*04>,The other person is currently<D3>doing the 'Robotoll.'<S5A><*04>
045,0x91a72,タイミングよく Aボタンを おして<CD>パ-ツを ゲットしよう!<S5A><*04>,Press the A button with good<D3>timing to get the parts!<S5A><*04>
046,0x91a74,ざんねん! 「ハズレ」です!<CD>何も ゲットできなかった!<*03>,Too bad! You got a <f02>Miss<f00>!<D3>You get nothing!<*03>
047,0x91a76,ラッキ-! 「ハズレ」です!<CD>何も とられなかった!<*03>,How lucky! You got a <f02>Miss<f00>!<D3>You get nothing!<*03>
048,0x91a78,<&BUF03>は <&BUF01>パ-ツ<CD><&BUF04>を 手に入れた!<*03>,<&BUF03> <&BUF01> Part<D3><&BUF04> obtained!
049,0x91a7a,<&BUF03>は <&BUF01>パ-ツ<CD><&BUF04>を とられた!<*03>,<&BUF03> <&BUF01> Part<D3><&BUF04> received!
050,0x91a7c,あっ!!<CD>つうしんロボトル 20回目です!<CF>メダロット社から きねんに<CD>たいよう型メダロットいっしきを<CF>プレゼントいたします!<CF>あとで パ-ツデ-タを<CD>かくにんしてね!<*03>,"Ah!!<D3>This is your 40th link robottle!<CF>To celebrate, the Medarot<D3>Company is gifting you a<CF>complete Sun-type Medarot.<CF>Please look over the parts'<D3>data later!<*03>"
051,0x91a7e,あっ!!<CD>つうしんロボトル 40回目です!<CF>メダロット社から きねんに<CD>月型メダロットいっしきを<CF>プレゼントいたします!<CF>あとで パ-ツデ-タを<CD>かくにんしてね!<*03>,"Ah!<D3>This is your 40th link robottle!<CF>To celebrate, the Medarot<D3>Company is gifting you a<CF>complete Moon-type Medarot.<CF>Please look over the parts<D3>later!<*03>"
